pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
3,-6,-176,0,0,-3,80,82,525,480,78,96.74,278,76,78,-938,0.102
3,-5,-176,0,0,-3,80,82,525,480,78,97.08,279,52,91,-935,0.102
2,-5,-176,0,0,-3,80,82,517,480,78,96.92,279,63,91,-927,0.102
2,-5,-176,0,0,-2,80,82,524,490,78,97.02,279,76,76,-957,0.102
1,-5,-176,0,0,-2,80,82,533,490,78,96.97,279,52,99,-946,0.102
2,-5,-176,0,0,-1,80,82,538,490,78,96.84,279,40,82,-914,0.102
2,-5,-176,0,0,-1,79,82,525,490,78,96.87,279,66,74,-960,0.102
2,-5,-176,0,0,0,79,82,530,490,78,96.8,279,67,50,-961,0.102
2,-4,-176,0,0,0,79,82,531,500,78,96.85,279,87,48,-963,0.102
2,-3,-176,0,0,0,79,82,530,500,78,96.99,279,85,48,-981,0.102
3,-3,-176,0,0,0,79,82,535,500,78,96.89,279,97,48,-992,0.102
4,-3,-176,0,0,0,79,82,526,500,78,96.87,280,84,35,-976,0.102
4,-2,-176,0,0,0,79,82,537,490,78,96.96,280,85,42,-997,0.102
3,-2,-176,0,0,0,79,82,523,490,78,96.7,280,119,44,-979,0.102
3,-1,-176,0,0,0,79,82,527,490,78,97.07,280,90,53,-993,0.102
3,-1,-176,0,0,0,79,82,529,490,78,96.58,280,76,37,-1001,0.102
3,-1,-176,0,0,0,79,82,526,490,78,96.96,280,69,40,-985,0.102
3,-1,-176,0,0,0,79,82,533,490,78,96.91,280,99,15,-1007,0.102
3,-1,-176,0,0,0,79,82,543,490,78,97.13,280,83,36,-991,0.102
3,-1,-176,0,0,0,79,82,519,490,78,96.86,280,75,36,-963,0.102
3,-1,-176,0,0,0,79,82,535,490,78,97.09,280,93,33,-1006,0.102
3,-1,-176,0,0,0,79,82,525,490,78,96.67,281,76,38,-989,0.102
3,-1,-176,0,0,0,79,82,527,490,78,97.11,281,79,26,-965,0.102
3,-1,-176,0,0,0,79,82,530,490,78,96.69,281,99,27,-983,0.102
4,-1,-176,0,0,0,79,82,541,490,78,96.77,281,74,37,-978,0.101
4,-1,-176,0,0,0,79,82,538,490,78,96.9,281,98,35,-976,0.103
5,-2,-176,0,0,0,79,82,548,490,78,96.73,281,87,36,-1181,0.102
6,-2,-176,0,0,-2,79,82,546,500,78,97.06,281,103,32,-1192,0.102
5,-1,-176,0,0,-4,79,82,541,500,78,97.27,281,103,26,-1156,0.051
4,0,-176,0,0,-6,79,82,548,510,78,97.23,281,93,44,-1116,0.101
4,0,-176,0,0,-7,79,82,559,510,78,97.29,281,101,24,-1083,0.104
4,-1,-176,0,0,-8,79,82,568,520,78,97.16,282,106,26,-1079,0.1
4,-1,-176,0,0,-9,79,82,574,530,78,97.46,282,100,48,-1024,0.102
4,-1,-176,0,0,-9,79,82,581,540,77,97.57,282,80,49,-973,0.102
4,-1,-176,0,0,-9,79,82,588,550,77,97.54,282,107,19,-966,0.102
4,-1,-176,0,0,-9,79,82,588,560,77,97.92,282,98,33,-971,0.102
4,-1,-176,0,0,-9,79,82,606,570,77,97.95,282,111,16,-971,0.102
3,-1,-176,0,0,-8,79,82,600,580,77,98.12,282,96,30,-969,0.102
4,-1,-176,0,0,-8,79,82,636,590,77,97.92,282,122,29,-935,0.102
4,-1,-176,0,0,-8,79,82,637,590,77,97.98,282,104,23,-933,0.102
4,-1,-176,0,0,-7,79,82,643,600,77,98.14,282,108,41,-940,0.102
4,-2,-176,0,0,-7,79,82,650,610,77,98.06,283,76,53,-912,0.103
4,-2,-176,0,0,-6,79,82,636,620,77,98.18,283,89,28,-943,0.101
4,-2,-176,0,0,-6,79,82,665,620,77,98.23,283,74,43,-950,0.102
3,-2,-176,0,0,-5,79,82,675,630,77,98.42,283,106,23,-951,0.102
4,-2,-176,0,0,-5,79,82,667,630,77,98.37,283,74,37,-943,0.102
5,-1,-176,0,0,-4,79,82,693,640,77,98.37,283,82,40,-956,0.102
5,-1,-176,0,0,-4,79,82,645,650,77,98.37,283,116,12,-945,0.102
5,-1,-176,0,0,-3,79,82,695,650,77,98.48,283,105,31,-947,0.102
4,-1,-176,0,0,-3,79,82,673,660,77,98.45,283,110,25,-952,0.102
